2024-04-04 19:44:22,041: Key.enter
2024-04-04 19:44:24,472: 't'
2024-04-04 19:44:24,748: 'h'
2024-04-04 19:44:25,175: 'i'
2024-04-04 19:44:25,463: 's'
2024-04-04 19:44:25,963: Key.space
2024-04-04 19:44:26,275: 's'
2024-04-04 19:44:26,631: 'c'
2024-04-04 19:44:26,895: 'r'
2024-04-04 19:44:27,238: 'i'
2024-04-04 19:44:27,630: 'p'
2024-04-04 19:44:27,850: 't'
2024-04-04 19:44:28,138: Key.space
2024-04-04 19:44:28,514: 'i'
2024-04-04 19:44:28,798: 's'
2024-04-04 19:44:29,349: Key.space
2024-04-04 19:44:29,733: 'l'
2024-04-04 19:44:29,997: 'o'
2024-04-04 19:44:30,209: 'g'
2024-04-04 19:44:30,377: 'g'
2024-04-04 19:44:30,593: 'i'
2024-04-04 19:44:30,693: 'n'
2024-04-04 19:44:30,905: 'g'
2024-04-04 19:44:30,929: Key.space
2024-04-04 19:44:31,200: 'm'
2024-04-04 19:44:31,368: 'y'
2024-04-04 19:44:31,508: Key.space
2024-04-04 19:44:31,928: 'k'
2024-04-04 19:44:32,188: 'e'
2024-04-04 19:44:32,524: 'y'
2024-04-04 19:44:32,784: 's'
2024-04-04 19:44:33,099: 't'
2024-04-04 19:44:33,359: 'r'
2024-04-04 19:44:33,779: 'o'
2024-04-04 19:44:34,019: 'k'
2024-04-04 19:44:34,219: 'e'
2024-04-04 19:44:34,639: 's'
2024-04-04 19:44:39,928: '.'
2024-04-04 19:44:50,087: Key.ctrl
2024-04-04 19:44:50,743: 'c'
